7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.3,7464.2,7464.2,7464.2,7464.2,7464.3,7464.3,7464.3,7464.3,7464.3,1
7475.3,7475.3,7475.3,7476,7476,7476,7476,7476,7476,7476,7475.9,7476,7476,7476,7475.9,7475.9,7475.9,7476,7476,7476,7476,7476,7476.1,7476.5,7476.7,7476.1,7476.1,7476.1,7476.2,7476.8,1
7465,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7464.8,7465,0
7390.1,7391,7391,7391.3,7391.4,7391.4,7392.1,7392.7,7394.7,7396.2,7397.1,7397.4,7398.4,7401.1,7402,7403.5,7404.4,7403.5,7405.1,7405.5,7405.5,7405.6,7406,7406,7407.1,7407.1,7406.2,7406.2,7406.2,7406.1,0
7410.6,7410.6,7410.6,7411.5,7411.5,7411.5,7411.5,7411.6,7410.8,7411.6,7411.6,7411.6,7411.6,7414.8,7411.7,7413.3,7413.3,7414.9,7414.9,7414.9,7415.2,7416.8,7415.9,7415.9,7415.9,7418.4,7418.4,7418.4,7416.2,7418.4,0
7387,7387.3,7387,7387.3,7387.3,7387.2,7387.2,7387.2,7387.2,7387.2,7387.1,7387.2,7387.6,7387.2,7387.2,7393.7,7391.5,7391.5,7393.8,7393.8,7393.8,7394.4,7394.4,7394.4,7394.8,7394.8,7395.4,7395.4,7395.4,7394.8,0
7413.9,7413.9,7413.9,7413.9,7413.9,7414.6,7414.6,7414.6,7414.6,7414.6,7414.6,7414.7,7414.8,7414.8,7414.8,7414.8,7415.4,7415.9,7414,7415.9,7415.9,7415.9,7415.2,7415.2,7414,7414.4,7414,7414,7413.9,7413.9,1
7403.7,7403.7,7402.9,7400,7400,7400,7400,7399.9,7399.9,7399.9,7400.5,7400,7400,7400,7400,7400,7400,7399.3,7399.3,7399.2,7399.3,7399.3,7399.3,7399.3,7399.3,7399.3,7399.2,7399.2,7399.2,7399.2,0
7394,7393.9,7393.9,7393.9,7393.6,7393.6,7393.6,7393.6,7393.6,7393.6,7393.5,7393.3,7392.8,7392.8,7392.6,7392.6,7392.1,7391.9,7392,7391.9,7391.9,7390.1,7390.1,7390.8,7388.6,7388.6,7390.1,7390.1,7390.1,7390.1,0
7397.9,7397.3,7397.3,7397.8,7397.5,7397.9,7397.9,7398,7400,7400,7399.3,7399.3,7399.3,7400,7399.9,7399.9,7400,7400,7400,7400,7399.9,7399.9,7399.9,7400,7400,7400,7400,7400,7400,7400,1
